Id,End,ImageUrl,Instructors,Name,Platform,Start,Stream,Url
"106","2012-11-11","*","Michael Genesereth","Introduction to Logic","Coursera","2012-09-24","Computer Science","https://www.coursera.org/course/intrologic"
"88","2013-03-03","*","Gerhard Wickler;Austin Tate","Artificial Intelligence Planning","Coursera","2013-01-28","Computer Science","https://www.coursera.org/course/aiplan"
"125","2012-12-16","*","Karl T. Ulrich","Design: Creation of Artifacts in Society","Coursera","2012-10-22","Information, Technology, and Design","https://www.coursera.org/course/design"
"78","2013-03-03","*","Celine Caquineau;Mayank Dutia","Critical Thinking in Global Challenges","Coursera","2013-01-28","Biology and Life Sciences","https://www.coursera.org/course/criticalthinking"
"61","2012-08-12","http://www.udacity.com/media/img/pages/courses/CS258-featured.png","John Regehr;Sean Bennett","CS258 - Software Testing: How to Make Software Fail","Udacity","2012-06-28","Computer Science","http://www.udacity.com/overview/Course/cs258"
"33","2012-08-19","*","Ezekiel Emanuel","Health Policy and the Affordable Care Act","Coursera","2012-06-25","Economics, Finance, and Business","https://www.coursera.org/course/healthpolicy"
"34","2012-07-29","*","Paul Offit","Vaccines","Coursera","2012-06-25","Healthcare, Medicine, and Biology","https://www.coursera.org/course/vaccines"
"35","2012-09-02","*","Emma Meagher","Fundamentals of Pharmacology","Coursera","2012-06-25","Healthcare, Medicine, and Biology","https://www.coursera.org/course/pharm101"
"114","2012-10-28","*","Kevin Frick","Principles of Obesity Economics","Coursera","2012-10-01","Economics, Finance, and Business","https://www.coursera.org/course/obesityecon"
"42","2012-11-17","*","Robert Ghrist","Calculus: Single Variable","Coursera","2012-08-27","Mathematics and Statistics","https://www.coursera.org/course/calcsing"
"1","2012-07-01","*","Andrew Ng","Introduction to Machine Learning","Coursera","2012-04-23","Computer Science","https://www.coursera.org/course/ml"
"77","2013-03-03","*","Charles Cockell","Astrobiology and the Search for Extraterrestrial Life","Coursera","2013-01-28","Biology and Life Sciences","https://www.coursera.org/course/astrobio"
"49","2012-11-11","*","David Wentzlaff","Computer Architecture","Coursera","2012-09-03","Computer Science","https://www.coursera.org/course/comparch"
"105","2013-03-10","*","Rob A. Rutenbar","VLSI CAD: Logic to Layout","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/vlsicad"
"37","2012-09-30","*","Gautam Kaul","Introduction to Finance","Coursera","2012-07-23","Economics, Finance, and Business","https://www.coursera.org/course/introfinance"
"121","2013-07-28","*","Philip Zelikow","The Modern World: Global History since 1760","Coursera","2013-06-03","Humanities and Social Sciences","https://www.coursera.org/course/modernworld"
"92","2013-07-28","*","Jitendra Malik","Computer Vision: The Fundamentals","Coursera","2013-06-03","Computer Science","https://www.coursera.org/course/vision"
"101","2013-02-03","*","Jennifer Campbell;Paul Gries","Learn to Program: Crafting Quality Code","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/programming2"
"51","2012-11-11","*","Peter Struck","Greek and Roman Mythology","Coursera","2012-09-03","Humanities and Social Sciences","https://www.coursera.org/course/mythology"
"109","2012-11-11","*","Tim Roughgarden","Algorithms: Design and Analysis, Part 2","Coursera","2012-10-01","Computer Science","https://www.coursera.org/course/algo2"
"112","2013-05-05","*","Dan Ariely","A Beginner's Guide to Irrational Behavior","Coursera","2013-03-25","Economics, Finance, and Business","https://www.coursera.org/course/behavioralecon"
"64","2012-09-09","*","Umesh Vazirani","Quantum Mechanics and Quantum Computation","Coursera","2012-07-17","Mathematics and Statistics","https://www.coursera.org/course/qcomp"
"87","2012-12-09","*","Daphne Koller","Probabilistic Graphical Models","Coursera","2012-09-24","Computer Science","https://www.coursera.org/course/pgm"
"43","2012-09-23","*","Robert Sedgewick;Kevin Wayne","Algorithms, Part I","Coursera","2012-08-13","Computer Science","https://www.coursera.org/course/algs4partI"
"5","2012-06-10","https://6002x.mitx.mit.edu/static/images/marketing/course-bg-small.jpg","Anant Agarwal;Gerald Sussman;Piotr Mitros","6.002x - Circuits and Electronics","MITx","2012-03-05","Electrical Engineering","https://6002x.mitx.mit.edu/"
"22","2012-06-01","*","Scott E Page","Model Thinking","Coursera","2012-02-20","Complex Systems","https://www.coursera.org/course/modelthinking"
"107","2013-02-17","*","Matthew O. Jackson;Yoav Shoham","Game Theory","Coursera","2013-01-01","Computer Science","https://www.coursera.org/course/gametheory"
"68","2012-08-12","http://lh3.ggpht.com/_KfXMQlaM0fNl4cRzOeh8RiNdvEwgEwx3ZW4tryBUypXXUI2r4_SSbwPFjM70NGUB2L-n2TY1x-qmBikCQ","Steve Huffman","CS253 - Web Application Engineering: Building a Blog","Udacity","2012-06-28","Computer Science","http://www.udacity.com/overview/Course/cs253"
